PC=00000000, SP=00000000, A=00000000, B=00000000, ldc 00001000
PC=00000001, SP=00000000, A=00001000, B=00000000, a2sp
PC=00000002, SP=00001000, A=00000000, B=00000000, adj FFFFFFFF
PC=00000003, SP=00000FFF, A=00000000, B=00000000, ldc 0000000A
PC=00000004, SP=00000FFF, A=0000000A, B=00000000, stl 00000000
PC=00000005, SP=00000FFF, A=00000000, B=00000000, ldc 00000041
PC=00000006, SP=00000FFF, A=00000041, B=00000000, call 00000001
PC=00000008, SP=00000FFF, A=00000006, B=00000041, adj FFFFFFFF
PC=00000009, SP=00000FFE, A=00000006, B=00000041, stl 00000000
PC=0000000A, SP=00000FFE, A=00000041, B=00000041, stl 00000002
PC=0000000B, SP=00000FFE, A=00000041, B=00000041, adj FFFFFFFD
PC=0000000C, SP=00000FFB, A=00000041, B=00000041, ldc 00000000
PC=0000000D, SP=00000FFB, A=00000000, B=00000041, stl 00000000
PC=0000000E, SP=00000FFB, A=00000041, B=00000041, ldc 00000001
PC=0000000F, SP=00000FFB, A=00000001, B=00000041, stl 00000001
PC=00000010, SP=00000FFB, A=00000041, B=00000041, ldc 00000000
PC=00000011, SP=00000FFB, A=00000000, B=00000041, stl 00000002
PC=00000012, SP=00000FFB, A=00000041, B=00000041, ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000041, ldl 00000002
PC=00000014, SP=00000FFB, A=00000000, B=0000000A, sub
PC=00000015, SP=00000FFB, A=0000000A, B=0000000A, ldc 00000001
PC=00000016, SP=00000FFB, A=00000001, B=0000000A, sub
PC=00000017, SP=00000FFB, A=00000009, B=0000000A, brz 00000026
PC=00000018, SP=00000FFB, A=00000009, B=0000000A, ldc 00000001
PC=00000019, SP=00000FFB, A=00000001, B=00000009, stl 00000001
PC=0000001A, SP=00000FFB, A=00000009, B=00000009, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000009, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000001, B=0000000A, sub
PC=0000001F, SP=00000FFB, A=00000009, B=0000000A, brz 00000016
PC=00000020, SP=00000FFB, A=00000009, B=0000000A, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000009, ldnl 00000000
PC=00000022, SP=00000FFB, A=DEADBEEF, B=00000009, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=DEADBEEF, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=DEADBEEF, sub
PC=00000025, SP=00000FFB, A=DEADBEE4, B=DEADBEEF, brlz 00000001
PC=00000027, SP=00000FFB, A=DEADBEE4, B=DEADBEEF, ldl 00000005
PC=00000028, SP=00000FFB, A=00000041, B=DEADBEE4, ldnl 00000000
PC=00000029, SP=00000FFB, A=DEADBEEF, B=DEADBEE4, stl 00000000
PC=0000002A, SP=00000FFB, A=DEADBEE4, B=DEADBEE4, ldl 00000005
PC=0000002B, SP=00000FFB, A=00000041, B=DEADBEE4, ldnl 00000001
PC=0000002C, SP=00000FFB, A=5EEDBED5, B=DEADBEE4, ldl 00000005
PC=0000002D, SP=00000FFB, A=00000041, B=5EEDBED5, stnl 00000000
PC=0000002E, SP=00000FFB, A=00000041, B=5EEDBED5, ldl 00000000
PC=0000002F, SP=00000FFB, A=DEADBEEF, B=00000041, ldl 00000005
PC=00000030, SP=00000FFB, A=00000041, B=DEADBEEF, stnl 00000001
PC=00000031, SP=00000FFB, A=00000041, B=DEADBEEF, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=00000041, ldl 00000001
PC=00000033, SP=00000FFB, A=00000001, B=00000001, add
PC=00000034, SP=00000FFB, A=00000002, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001F, SP=00000FFB, A=00000008, B=0000000A, brz 00000016
PC=00000020, SP=00000FFB, A=00000008, B=0000000A, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000008, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000008, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
