duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
3,3.597483,4,5,0,40,2,8.32238,3,0,11,0,1,1,1,2,1
3,3.968619,4,5.1,1,40,2,2,3,0,12,1,1,2,1,2,1
2,6.328544,5.08968,5,0,35.915468,2,2,4,0,12,1,1,1,1,2,1
2,4.348288,5.336979,5,0,37.651356,2,2,3,0,15,1,1,2,1,2,1
2,3.530789,2.892247,2.029438,0,40,2,2,4,0,11,1,1,1,1,2,1
3,4.568802,1.974475,5,0,40,2,2,4,0,11,1,1,2,1,2,1
3,3.816155,4,2.307488,0,37.320241,2,2,3,0,9.611974,2,1,2,1,2,1
3,1.969019,2.896381,4.554825,0,40,2,2,11.894496,1,13,0,1,1,1,2,1
2,3.029019,4,5,0,40,0,2,2.156388,0,12,0,1,1,1,2,0
1,6.488637,4,5,0,40,2,2,2.1322,1,11,0,1,1,1,1,1
2,4.476433,3.277169,5,0,39,2,2,3,1,12,2,1,1,1,2,1
2,4.325142,4,5,0,40,2,2,-0.763896,1,11,2,1,0,1,1,1
1,6.08073,4,5,0,40,2,2,0.047742,0,11,1,1,2,1,2,1
2,4.438298,4,5,0,32.829808,2,2,1.258619,0,9.392741,0,1,2,1,2,1
3,3.228551,2.80727,5,1,40,2,2,3,1,12,0,1,2,1,2,1
1,2.033393,3.240985,5,0,40,0,2,4,0,9.599492,0,0,1,0,2,0
1,4.553098,4.839649,5,0,40,0,2,1.820791,0,12,0,0,1,1,1,0
2,3.115889,2.798828,5,2,40,1,8.124749,5,0,11,2,0,1,1,1,0
1,2.930122,2.105251,2.001305,0,40,2,2,3,1,12,2,0,2,0,2,0
2,3.725936,6.381199,1.72694,0,40,2,2,4,0,13,1,1,2,1,2,1
2,4.511222,6.277481,5,0,37.885504,1,11.784976,9.666334,0,11,1,1,1,1,2,1
3,2.017995,2.10869,5,2,40,1,2,1.444735,1,11,0,0,0,1,0,0
1,3.609423,4,5,0,37.533323,2,2,3,1,9.781598,1,1,0,1,1,0
2,4.83562,4.518465,5,0,40,2,2,3,0,12,2,1,2,1,2,1
1,2.659935,4.424703,5,0,40,2,2,4,1,11,1,1,1,1,2,1
