! I B -9.361943773735241
! O B -5.147094293061428
! O I -5.223149940409189
! O O -6.017936225490436
!! O B -8.085693748397285
!! O I -7.725650280938373
!! O O -8.61220646843782
!!! O B -8.67065624911844
!!! O I -9.310612781659529
!!! O O -9.416063946259197
!!!! O I -9.310612781659529
!!!! O O -10.976778900733677
!!!!! O I -9.310612781659529
!!!!! O O -12.491352073563435
!: O O -12.713744494899883
" O * -7.966425340011844
" O B -7.085693748397285
" O I -5.310612781659529
" O O -8.004086246729411
#FF O * -10.136350341454156
#FF O O -11.976778900733677
#ZodiacFacts O O -12.491352073563435
$ O O -12.298706995621039
$RARE$ B * -0.3018903416508172
$RARE$ B B -0.2630344058337939
$RARE$ B I 0.0
$RARE$ B O -0.24208513952461885
$RARE$ I B -0.42530583473267036
$RARE$ I I -0.6157348495159711
$RARE$ O * -1.020006380216687
$RARE$ O B -2.154956410834397
$RARE$ O I -2.1307036916445945
$RARE$ O O -1.9659710943730904
&amp; I B -6.776981273014085
&amp; O B -7.085693748397285
&amp; O I -9.310612781659529
&amp; O O -9.031920454926137
&gt; O O -10.543819493457569
&lt; O * -10.136350341454156
&lt; O B -7.670656249118441
&lt; O I -9.310612781659529
&lt; O O -8.889316059483336
&quot; I B -9.361943773735241
&quot; I I -8.2667865406949
&quot; O * -9.136350341454156
&quot; O B -9.67065624911844
&quot; O I -7.725650280938373
&quot; O O -10.298706995621039
' I I -7.2667865406949
' O * -10.136350341454156
' O B -8.67065624911844
' O I -6.988684686772167
' O O -9.465816981456296
'I O * -8.551387840733
'RT O * -7.551387840733
'll O O -11.976778900733677
'm O O -10.654850805846316
're O O -12.491352073563435
's I B -6.192018772292929
's I I -6.681824039973744
's O B -5.147094293061428
's O I -6.310612781659529
's O O -7.0650873188613375
've O O -11.598267277479946
( I I -8.2667865406949
( O * -11.136350341454156
( O B -7.670656249118441
( O I -5.610173063518436
( O O -8.61220646843782
) I B -9.361943773735241
) I I -8.2667865406949
) O B -7.348728154231079
) O I -7.725650280938373
) O O -8.806853899291365
* * * 0.0
* O O -13.713744494899883
+ O O -11.976778900733677
, I I -8.2667865406949
, O B -3.739918911555554
, O I -3.6667565918848046
, O O -5.651248569166118
- O * -10.136350341454156
- O B -5.970216530977348
- O I -5.610173063518436
- O O -8.453216944676663
-- O B -8.67065624911844
-- O O -10.543819493457569
-_- O O -12.713744494899883
. I B -7.04001567884788
. I I -6.681824039973744
. O B -3.693376325618524
. O I -4.101159416030579
. O O -4.8311014455380406
." O I -9.310612781659529
." O O -11.976778900733677
.. O * -10.136350341454156
.. O B -9.67065624911844
.. O I -9.310612781659529
.. O O -8.491352073563435
... O * -8.814422246566794
... O B -5.670656249118441
... O I -5.988684686772166
... O O -6.669350375541429
..." O O -11.050779482177454
...' O O -12.713744494899883
.... O * -11.136350341454156
.... O B -7.348728154231079
.... O O -9.839275376983743
..... O B -9.67065624911844
..... O O -11.976778900733677
...... O O -12.491352073563435
...: O B -8.67065624911844
...: O O -12.713744494899883
1 I B -9.361943773735241
1 I I -8.2667865406949
1 O * -10.136350341454156
1 O B -9.67065624911844
1 O O -10.344510685234162
10 O * -11.136350341454156
10 O O -10.839275376983743
106 O O -12.713744494899883
11 B O -10.388017285345136
11 O O -12.713744494899883
13 O O -12.713744494899883
17 O O -11.128781994178727
18 O * -11.136350341454156
18 O O -11.976778900733677
1st B O -10.388017285345136
1st O O -11.976778900733677
2 I B -9.361943773735241
2 I I -5.944858445807538
2 O * -9.136350341454156
2 O I -8.310612781659529
2 O O -9.031920454926137
20 O O -11.2112441543707
2010 I I -6.681824039973744
2010 O O -10.39181640001252
22 O O -12.491352073563435
23 O O -12.491352073563435
3 I I -7.2667865406949
3 O * -9.136350341454156
3 O O -9.069888305125158
30 O * -11.136350341454156
30 O O -12.128781994178727
30,000 O O -12.713744494899883
3D I B -7.776981273014085
3D O O -13.298706995621039
4 I I -8.2667865406949
4 O I -9.310612781659529
4 O O -10.298706995621039
5 I B -9.361943773735241
5 O * -11.136350341454156
5 O O -11.39181640001252
50 B O -10.388017285345136
50 O B -8.085693748397285
50 O O -12.713744494899883
6 O * -11.136350341454156
6 O I -9.310612781659529
6 O O -11.128781994178727
7 O O -11.976778900733677
8 I I -8.2667865406949
8 O O -11.39181640001252
9 O O -12.491352073563435
: I B -9.361943773735241
: I I -6.2667865406949
: O * -11.136350341454156
: O B -5.4227287356748555
: O I -4.725650280938372
: O O -5.941154991002955
:' O I -9.310612781659529
:' O O -12.713744494899883
:( O * -10.136350341454156
:( O I -8.310612781659529
:( O O -10.839275376983743
:) O B -8.67065624911844
:) O I -7.725650280938373
:) O O -8.2112441543707
:-) O O -12.713744494899883
:/ O O -11.976778900733677
:D O B -9.67065624911844
:D O I -9.310612781659529
:D O O -9.683997151505832
:P O O -12.128781994178727
; O * -11.136350341454156
; O B -8.67065624911844
; O O -10.839275376983743
;) O B -9.67065624911844
;) O O -10.440726000493466
;-) O O -12.298706995621039
= O I -7.725650280938373
= O O -12.128781994178727
? I I -8.2667865406949
? O B -6.863301327060837
? O I -6.725650280938373
? O O -7.270800999051154
?! O O -11.83927537698374
?? O B -8.085693748397285
?? O O -10.775145039564027
??? O O -12.491352073563435
@ I B -9.361943773735241
@ O * -11.136350341454156
@ O B -9.67065624911844
@ O I -7.725650280938373
@ O O -11.598267277479946
@LightCMS O * -11.136350341454156
@LightCMS O O -12.713744494899883
@Sexstrology O * -11.136350341454156
@Sexstrology O O -12.713744494899883
@SouljaBoy O O -12.713744494899883
@WakaFlocka1017 O O -12.713744494899883
@ZodiacFacts O O -12.713744494899883
@justinbieber O * -8.814422246566794
@justinbieber O O -12.298706995621039
A B O -10.388017285345136
A I B -8.361943773735241
A I I -8.2667865406949
A O * -7.551387840733
A O O -9.713744494899881
ABOUT O O -12.713744494899883
ALL O * -11.136350341454156
ALL O O -12.298706995621039
AND O * -11.136350341454156
AND O B -8.085693748397285
AND O O -12.298706995621039
AROUND O O -12.713744494899883
About O * -9.551387840733
About O O -12.976778900733677
After B * -7.159871336778389
After O * -8.328995419396552
After O O -11.128781994178727
Ah O * -9.551387840733
Ah O O -13.298706995621039
All I B -9.361943773735241
All O * -8.814422246566794
All O O -11.713744494899883
And O * -9.551387840733
And O B -8.67065624911844
And O O -10.298706995621039
Anyone O * -9.551387840733
Anyone O O -13.713744494899883
Are I I -8.2667865406949
Are O * -11.136350341454156
Are O O -13.298706995621039
As O * -11.136350341454156
As O O -12.128781994178727
At O * -11.136350341454156
At O O -12.491352073563435
Awesome O * -10.136350341454156
Awesome O O -13.298706995621039
B I B -9.361943773735241
B O O -12.976778900733677
BUT O O -12.128781994178727
BUY O O -12.713744494899883
Be O O -11.976778900733677
Before O * -11.136350341454156
Before O O -12.128781994178727
Best O * -9.551387840733
Best O O -13.713744494899883
Bieber I B -5.661504055594149
Birthday O B -9.67065624911844
Birthday O O -12.713744494899883
Boy I B -7.04001567884788
Boy I I -7.2667865406949
Boy O O -14.298706995621039
But O * -9.551387840733
But O O -11.050779482177454
Can O * -10.136350341454156
Can O O -13.298706995621039
Can't O * -11.136350341454156
Can't O O -11.83927537698374
Check O * -9.551387840733
Check O O -12.128781994178727
Chicago B * -6.159871336778389
Chicago B B -2.584962500721156
Chicago B O -7.8030547846239795
Club B O -9.388017285345136
Club I B -7.776981273014085
Club O O -15.298706995621039
Come O * -11.136350341454156
Come O O -12.298706995621039
D O O -11.976778900733677
DAY I B -8.361943773735241
DAY O O -12.128781994178727
DJ B O -8.388017285345136
DJ O * -11.136350341454156
DJ O I -9.310612781659529
DOG O O -12.713744494899883
Damn O * -9.551387840733
Damn O O -13.298706995621039
Day I B -5.361943773735241
Day I I -5.096861539252588
Day O * -9.136350341454156
Day O I -9.310612781659529
Day O O -10.654850805846316
Days I B -7.04001567884788
Days O O -12.976778900733677
Did O * -10.136350341454156
Did O O -12.491352073563435
Do O * -9.136350341454156
Do O O -11.713744494899883
Drama I B -9.361943773735241
Drama O O -12.491352073563435
Edition I I -8.2667865406949
Edition O O -12.491352073563435
Excuses O O -12.713744494899883
FOLLOW O O -12.298706995621039
FOR O B -8.67065624911844
FOR O O -12.491352073563435
FREE O * -11.136350341454156
FREE O O -12.491352073563435
FRIDAY O * -9.551387840733
FRIDAY O O -12.298706995621039
Facebook B * -7.159871336778389
Facebook B O -8.066089190457774
Favorite O O -12.128781994178727
Festival I B -7.361943773735241
Festival I I -7.2667865406949
Find O * -10.136350341454156
Find O O -13.298706995621039
First B * -7.159871336778389
First B O -10.388017285345136
First O * -10.136350341454156
First O O -12.298706995621039
Five O * -11.136350341454156
Five O O -12.976778900733677
Follow O * -11.136350341454156
Follow O O -12.298706995621039
Football I I -8.2667865406949
Football O * -9.551387840733
Football O O -14.298706995621039
For O * -9.136350341454156
For O O -11.598267277479946
Free O * -10.136350341454156
Free O O -12.491352073563435
Friday B O -9.388017285345136
Friday I B -8.361943773735241
Friday O * -9.551387840733
Friday O O -9.543819493457569
From O * -11.136350341454156
From O O -12.298706995621039
GET O O -11.976778900733677
Get I B -9.361943773735241
Get O B -9.67065624911844
Get O O -11.598267277479946
Give O O -12.713744494899883
Go O O -12.298706995621039
God B O -7.218092283902823
God O O -12.713744494899883
Going O * -8.551387840733
Going O O -13.713744494899883
Good B * -7.159871336778389
Good B O -10.388017285345136
Good O * -8.328995419396552
Good O O -11.298706995621039
Goodnight O * -10.136350341454156
Goodnight O O -13.298706995621039
Gotta O * -8.814422246566794
Gotta O O -15.298706995621039
Great B O -10.388017285345136
Great O * -9.551387840733
Great O O -13.298706995621039
HAPPY O * -10.136350341454156
HAPPY O O -13.298706995621039
HAVE O * -11.136350341454156
HAVE O O -12.298706995621039
Had O * -9.551387840733
Had O O -12.298706995621039
Haha O * -9.551387840733
Haha O O -11.976778900733677
Happy B O -10.388017285345136
Happy O * -8.814422246566794
Happy O O -11.83927537698374
Have O * -9.136350341454156
Have O I -9.310612781659529
Have O O -11.298706995621039
He B O -10.388017285345136
He O * -11.136350341454156
He O O -11.050779482177454
Here O * -11.136350341454156
Here O O -12.128781994178727
Hey O * -9.136350341454156
Hey O O -12.976778900733677
Hope O * -10.136350341454156
Hope O O -11.598267277479946
How O * -8.814422246566794
How O O -11.128781994178727
I I I -8.2667865406949
I O * -4.449849814270937
I O B -8.085693748397285
I O O -5.943355899196227
I'd O B -9.67065624911844
I'd O O -11.976778900733677
I'll O * -10.136350341454156
I'll O O -10.598267277479946
I'm O * -7.328995419396552
I'm O O -8.713744494899883
I've O * -9.551387840733
I've O O -10.839275376983743
IF O * -11.136350341454156
IF O O -12.491352073563435
IN O I -9.310612781659529
IN O O -12.976778900733677
IS O I -7.725650280938373
IS O O -12.298706995621039
IT I B -9.361943773735241
IT O O -11.713744494899883
If O * -7.551387840733
If O O -10.976778900733677
Im O * -9.551387840733
Im O O -12.128781994178727
In I B -9.361943773735241
In O * -9.551387840733
In O I -9.310612781659529
In O O -12.491352073563435
Is I B -9.361943773735241
Is O * -7.814422246566793
Is O B -9.67065624911844
Is O O -11.491352073563435
It B O -10.388017285345136
It O * -7.136350341454156
It O O -9.543819493457569
Its O * -9.136350341454156
Its O B -9.67065624911844
Its O O -12.713744494899883
J B O -10.388017285345136
J O * -11.136350341454156
J O O -13.298706995621039
JOKE O O -12.713744494899883
John B * -7.159871336778389
John B O -8.066089190457774
John I B -8.361943773735241
Just I I -8.2667865406949
Just O * -7.551387840733
Just O I -9.310612781659529
Just O O -10.775145039564027
Justin B * -7.159871336778389
Justin B O -6.218092283902823
Justin O O -15.298706995621039
L I B -8.361943773735241
L I I -8.2667865406949
L O O -11.976778900733677
LIKE O O -12.298706995621039
LOL O * -11.136350341454156
LOL O O -11.39181640001252
Last B O -10.388017285345136
Last O * -9.551387840733
Last O O -13.298706995621039
Let O * -8.814422246566794
Let O O -12.298706995621039
Like O O -12.298706995621039
Lindsay B * -6.159871336778389
Lindsay B O -7.066089190457773
Lohan B * -5.574908836057233
Lohan I B -6.040015678847879
Lol O * -10.136350341454156
Lol O I -9.310612781659529
Lol O O -11.713744494899883
London B O -7.8030547846239795
London O O -15.298706995621039
Long B O -9.388017285345136
Long I B -9.361943773735241
Long O * -11.136350341454156
Long O O -12.491352073563435
Looking O * -10.136350341454156
Looking O O -13.298706995621039
Looks O * -11.136350341454156
Looks O O -12.976778900733677
Love I I -8.2667865406949
Love O * -10.136350341454156
Love O O -11.39181640001252
ME O I -9.310612781659529
ME O O -11.128781994178727
MY O O -12.128781994178727
Man I B -9.361943773735241
Man I I -8.2667865406949
Man O * -8.551387840733
Man O O -13.713744494899883
May O * -10.136350341454156
May O B -9.67065624911844
May O O -11.39181640001252
Maybe O * -10.136350341454156
Maybe O O -13.298706995621039
Me O O -11.976778900733677
Monday O O -11.298706995621039
More O O -12.713744494899883
Music B O -8.80305478462398
Music I B -8.361943773735241
Music O * -11.136350341454156
Music O O -14.298706995621039
My I B -9.361943773735241
My O * -7.328995419396552
My O O -10.775145039564027
N I B -8.361943773735241
N O O -11.128781994178727
NEW B * -7.159871336778389
NEW B O -10.388017285345136
NEW O * -11.136350341454156
NEW O O -13.713744494899883
NO O O -12.491352073563435
Need O * -10.136350341454156
Need O O -12.713744494899883
New B O -7.8030547846239795
New O * -8.136350341454156
New O O -13.298706995621039
Next O * -10.136350341454156
Next O O -12.491352073563435
Night I B -8.361943773735241
Night I I -7.2667865406949
Night O O -12.976778900733677
No O * -8.551387840733
No O O -10.839275376983743
Not B O -10.388017285345136
Not O * -8.551387840733
Not O O -12.298706995621039
Nov O O -12.298706995621039
November O O -12.491352073563435
Now O * -10.136350341454156
Now O O -11.976778900733677
OF O O -12.298706995621039
OMG O * -11.136350341454156
OMG O O -12.128781994178727
ON B O -10.388017285345136
ON O B -9.67065624911844
ON O O -11.598267277479946
OUT O O -12.128781994178727
Oct O * -11.136350341454156
Oct O O -12.298706995621039
October O O -11.2112441543707
Of I I -6.681824039973744
Of O * -11.136350341454156
Of O O -13.298706995621039
Oh B O -10.388017285345136
Oh O * -7.966425340011844
Oh O O -12.491352073563435
Okay O * -10.136350341454156
Okay O O -13.298706995621039
On B * -7.159871336778389
On O * -8.328995419396552
On O O -11.976778900733677
One O * -11.136350341454156
One O O -12.298706995621039
Only O * -10.136350341454156
Only O O -12.976778900733677
Our I I -8.2667865406949
Our O * -8.328995419396552
Our O I -8.310612781659529
Our O O -13.713744494899883
Out I B -9.361943773735241
Out O O -12.976778900733677
PM O O -12.713744494899883
Part O * -11.136350341454156
Part O O -11.39181640001252
Please O * -11.136350341454156
Please O O -12.713744494899883
Pope B * -6.159871336778389
Pope B O -7.218092283902823
Pretty B O -10.388017285345136
Pretty O * -11.136350341454156
Pretty O O -13.298706995621039
RT O * -2.902730664694454
RT O I -8.310612781659529
RT O O -8.822973564654642
Really O * -9.551387840733
Really O O -13.713744494899883
S O O -12.713744494899883
SCHOOL O O -12.713744494899883
SHAWTY O O -12.713744494899883
SO O O -11.713744494899883
STOP STOP B 0.0
STOP STOP I 0.0
STOP STOP O 0.0
SUPPLY O O -12.713744494899883
Saturday O * -10.136350341454156
Saturday O O -10.839275376983743
Sep O I -9.310612781659529
Sep O O -12.713744494899883
Sept O I -8.310612781659529
Sept O O -11.298706995621039
September O * -11.136350341454156
September O I -8.310612781659529
September O O -11.128781994178727
She O * -10.136350341454156
She O O -11.976778900733677
So O * -7.676918722816858
So O O -10.713744494899881
Sorry O O -12.298706995621039
St B * -7.159871336778389
St B O -8.066089190457774
St I B -9.361943773735241
St O O -14.298706995621039
Still O * -10.136350341454156
Still O O -13.298706995621039
Sunday O * -11.136350341454156
Sunday O O -9.90638957284228
Super B O -9.388017285345136
Super O O -13.298706995621039
TALK O O -12.491352073563435
THE O O -11.713744494899883
THIS O O -12.713744494899883
TIME O O -12.128781994178727
TO O I -9.310612781659529
TO O O -12.298706995621039
TODAY O * -11.136350341454156
TODAY O O -12.976778900733677
TONIGHT O I -7.725650280938373
TONIGHT O O -12.128781994178727
Thank O * -8.814422246566794
Thank O O -13.713744494899883
Thanks O * -9.136350341454156
Thanks O O -11.976778900733677
That O * -10.136350341454156
That O O -11.491352073563435
The B * -4.352516414720785
The B O -5.928585666707838
The I B -9.361943773735241
The I I -5.096861539252588
The O * -6.966425340011844
The O I -9.310612781659529
The O O -9.190182538842869
There O * -9.136350341454156
There O O -12.128781994178727
They O O -12.128781994178727
This B O -10.388017285345136
This O * -7.814422246566793
This O O -10.254312876262585
Thursday O O -12.491352073563435
Time B * -7.159871336778389
Time I B -9.361943773735241
Time I I -6.681824039973744
Time O * -8.814422246566794
Time O O -10.713744494899881
To O O -11.83927537698374
Today O * -6.814422246566793
Today O O -10.839275376983743
Tomorrow I B -8.361943773735241
Tomorrow O * -9.136350341454156
Tomorrow O O -13.298706995621039
Tonight I B -9.361943773735241
Tonight O * -8.814422246566794
Tonight O B -9.67065624911844
Tonight O O -11.976778900733677
Tour I B -9.361943773735241
Tour I I -7.2667865406949
Tour O O -13.298706995621039
True B O -9.388017285345136
True I I -6.681824039973744
True O O -14.298706995621039
Try O O -10.976778900733677
Tuesday O O -12.298706995621039
Twitter B O -6.300554444094796
U B O -10.388017285345136
U O * -10.136350341454156
U O O -11.298706995621039
Up I I -8.2667865406949
Up O O -12.976778900733677
Videos O B -6.670656249118441
Videos O O -15.298706995621039
WE O O -12.298706995621039
WHEN O O -11.298706995621039
WORTH O O -12.713744494899883
Way I I -6.681824039973744
Way O O -13.713744494899883
We B O -10.388017285345136
We O * -8.814422246566794
We O O -10.344510685234162
Week I B -8.361943773735241
Week I I -6.2667865406949
Week O O -11.2112441543707
Weekend I B -9.361943773735241
Weekend O B -9.67065624911844
Weekend O O -12.976778900733677
Well O * -9.136350341454156
Well O O -11.713744494899883
What O * -7.229459745845637
What O O -10.654850805846316
When O * -7.676918722816858
When O O -9.51734728209638
Who O * -9.136350341454156
Who O O -12.976778900733677
Why O * -8.328995419396552
Why O O -12.713744494899883
Will O I -9.310612781659529
Will O O -12.491352073563435
With B O -10.388017285345136
With O * -11.136350341454156
With O B -9.67065624911844
With O O -12.298706995621039
Woman I B -9.361943773735241
Woman O B -9.67065624911844
Woman O O -12.976778900733677
XD O O -12.128781994178727
YALL O O -12.713744494899883
YOU I I -8.2667865406949
YOU O * -11.136350341454156
YOU O O -10.90638957284228
Yeah O O -12.298706995621039
Yes O * -11.136350341454156
Yes O O -11.83927537698374
You I B -9.361943773735241
You O * -8.136350341454156
You O O -9.839275376983743
You're O O -12.713744494899883
YouTube B O -6.8030547846239795
Your O * -11.136350341454156
Your O O -12.713744494899883
[ O * -10.136350341454156
[ O I -9.310612781659529
[ O O -11.298706995621039
] O O -11.128781994178727
a I B -9.361943773735241
a O B -8.67065624911844
a O I -9.310612781659529
a O O -5.841326116548503
about O * -11.136350341454156
about O B -9.67065624911844
about O O -8.889316059483336
actually O O -11.598267277479946
after I I -8.2667865406949
after O B -7.670656249118441
after O I -9.310612781659529
after O O -9.01330477675879
again O B -9.67065624911844
again O I -9.310612781659529
again O O -9.839275376983743
against O O -11.39181640001252
age O O -12.713744494899883
ago O O -10.254312876262585
ain't O O -12.713744494899883
all O B -8.67065624911844
all O I -9.310612781659529
all O O -8.3561924902818
almost O O -12.128781994178727
alone O O -12.713744494899883
along O O -12.491352073563435
already O O -10.839275376983743
also O O -11.83927537698374
always I I -8.2667865406949
always O O -10.775145039564027
am O O -10.39181640001252
amazing O O -11.83927537698374
an O B -9.67065624911844
an O O -9.344510685234162
and I B -6.776981273014085
and I I -6.681824039973744
and O * -11.136350341454156
and O B -5.147094293061428
and O I -5.610173063518436
and O O -6.581030572554644
another O O -11.713744494899883
any O O -10.839275376983743
anyone O * -11.136350341454156
anyone O O -11.83927537698374
anything O O -12.128781994178727
are O B -9.67065624911844
are O I -7.725650280938373
are O O -8.713744494899883
around O O -11.050779482177454
as O B -9.67065624911844
as O I -9.310612781659529
as O O -9.416063946259197
ask O O -11.39181640001252
asked O B -8.67065624911844
asked O O -12.491352073563435
ass O O -12.298706995621039
at I B -9.361943773735241
at O B -7.348728154231079
at O I -5.610173063518436
at O O -7.557240009219893
away O O -10.976778900733677
awesome O O -11.298706995621039
b O O -12.491352073563435
baby O O -11.491352073563435
back O * -11.136350341454156
back O O -9.440726000493466
bad O O -10.713744494899881
be O B -9.67065624911844
be O I -9.310612781659529
be O O -7.530522670844113
beat O B -9.67065624911844
beat O O -12.976778900733677
beautiful O O -12.713744494899883
because O O -10.654850805846316
bed O O -11.491352073563435
been O * -10.136350341454156
been O B -8.67065624911844
been O O -9.232617805163267
before I B -9.361943773735241
before O * -11.136350341454156
before O I -8.310612781659529
before O O -9.050779482177454
being O O -10.976778900733677
believe O O -11.713744494899883
best O O -10.976778900733677
better O O -10.440726000493466
big O O -11.050779482177454
birthday O O -10.976778900733677
bit O O -11.83927537698374
blog I B -8.361943773735241
blog O O -12.491352073563435
book O O -11.83927537698374
bought O O -12.713744494899883
bout O O -12.491352073563435
boy O O -12.298706995621039
break O O -12.713744494899883
bring O O -12.298706995621039
bus O O -12.713744494899883
busy O O -12.128781994178727
but O O -8.2112441543707
buy O O -12.713744494899883
by O * -11.136350341454156
by O B -9.67065624911844
by O I -7.725650280938373
by O O -9.465816981456296
c O O -11.598267277479946
call O O -10.976778900733677
called O O -12.491352073563435
came O B -9.67065624911844
came O O -12.713744494899883
can O I -9.310612781659529
can O O -8.889316059483336
can't O O -10.90638957284228
cant O * -9.551387840733
cant O O -11.713744494899883
car O O -12.298706995621039
catch O O -11.713744494899883
cause O O -12.298706995621039
celebrate O B -9.67065624911844
celebrate O O -12.713744494899883
chance O O -11.83927537698374
check O * -11.136350341454156
check O O -10.90638957284228
child O O -12.713744494899883
choose O O -12.713744494899883
class O O -11.598267277479946
close O O -12.491352073563435
com O O -11.298706995621039
come O I -9.310612781659529
come O O -9.872442240918941
comes O I -9.310612781659529
comes O O -12.298706995621039
coming O I -8.310612781659529
coming O O -10.90638957284228
company O O -12.713744494899883
concert O I -6.310612781659529
concert O O -11.976778900733677
cont O O -12.713744494899883
cool O O -11.598267277479946
could O O -10.775145039564027
couple O O -12.298706995621039
crazy O O -11.713744494899883
cuz O * -11.136350341454156
cuz O O -12.298706995621039
d O O -12.491352073563435
da O O -11.83927537698374
dad O O -11.491352073563435
dance O O -11.976778900733677
dat O O -12.713744494899883
day I B -8.361943773735241
day O O -7.327163441670267
days O O -9.190182538842869
de I B -9.361943773735241
de O O -12.491352073563435
definitely O O -12.713744494899883
did O I -9.310612781659529
did O O -10.344510685234162
didn't O O -12.128781994178727
didnt O O -12.491352073563435
die O O -11.976778900733677
different O O -12.713744494899883
dinner O O -11.598267277479946
do I B -9.361943773735241
do O O -8.557240009219893
does O * -11.136350341454156
does O O -12.298706995621039
doesn't O O -11.976778900733677
doing O I -9.310612781659529
doing O O -10.976778900733677
don't O I -9.310612781659529
don't O O -9.683997151505832
done O O -10.775145039564027
dont O O -11.598267277479946
down O O -10.90638957284228
dream O O -11.713744494899883
dreams O O -12.713744494899883
drink O O -12.491352073563435
drinks O O -12.713744494899883
