! O O -6.017936225490436
! O company -5.366322214245815
! O facility -4.643856189774725
! O loc -5.03342300153745
! O musicartist -5.7279204545632
! O other -5.189824558880018
! O person -5.4561490346479955
! O product -5.569855608330948
! O sportsteam -3.6438561897747244
! O tvshow -5.044394119358453
! other other -8.326429487122303
!! O O -8.61220646843782
!! O company -7.366322214245815
!! O facility -6.643856189774725
!! O other -7.774787059601174
!! O person -8.778077129535358
!! O sportsteam -5.643856189774724
!! O tvshow -5.044394119358453
!!! O O -9.416063946259197
!!! O movie -5.08746284125034
!!! O person -8.778077129535358
!!! O tvshow -5.044394119358453
!!!! O O -10.976778900733677
!!!! O person -8.778077129535358
!!!!! O O -12.491352073563435
!!!!! O facility -6.643856189774725
!: O O -12.713744494899883
" O * -7.966425340011844
" O O -8.004086246729411
" O movie -3.08746284125034
" O other -4.452858964713811
" O person -6.778077129535358
" O product -4.984893107609792
" O tvshow -5.044394119358453
#FF O * -10.136350341454156
#FF O O -11.976778900733677
#ZodiacFacts O O -12.491352073563435
$ O O -12.298706995621039
$RARE$ O * -1.020006380216687
$RARE$ O O -1.9659710943730904
$RARE$ O company -1.7224660244710908
$RARE$ O facility -3.1844245711374275
$RARE$ O loc -2.389566811762726
$RARE$ O movie -3.502500340529184
$RARE$ O musicartist -1.5579954531208875
$RARE$ O other -1.9418970454364315
$RARE$ O person -2.2389183184273262
$RARE$ O product -2.046293652273935
$RARE$ O sportsteam -1.7369655941662057
$RARE$ O tvshow -2.0443941193584534
$RARE$ company * -0.18057224564182128
$RARE$ company O -0.6818240399737459
$RARE$ company company -0.21572869105543635
$RARE$ facility * -0.4150374992788439
$RARE$ facility O -0.26607486015384474
$RARE$ facility facility -0.17333160288556115
$RARE$ loc * -0.24100809950379443
$RARE$ loc O -0.1408625358398492
$RARE$ loc company 0.0
$RARE$ loc loc -0.08572987402588428
$RARE$ movie * -0.9999999999999998
$RARE$ movie O -0.22239242133644677
$RARE$ movie movie -0.8231222379159204
$RARE$ musicartist * -0.7369655941662059
$RARE$ musicartist O -0.12029423371771131
$RARE$ musicartist musicartist -0.7212839719339366
$RARE$ other * -0.16992500144231215
$RARE$ other O -0.2138304078330231
$RARE$ other loc 0.0
$RARE$ other other -0.8345763907926278
$RARE$ person * -0.31410859042806294
$RARE$ person O -0.2134036381091935
$RARE$ person facility 0.0
$RARE$ person other 0.0
$RARE$ person person -0.33880191345175703
